Feature,Importance
INF_sd,0.19243890178924514
INF_r1,0.12109707550627681
IND_kr,0.09549161774577117
INC_sd,0.09247600223755115
SUP_sd,0.06730993608658452
INF_avg,0.055384099361441536
SUP_avg,0.04667726006349552
IND_r1,0.04427940510621729
INC_avg,0.041041187887174715
IND_avg,0.03788248406430627
INC_r1,0.037735481723567554
SUP_sk,0.03388220226587077
INC_sk,0.02654962655042977
INF_kr,0.022103431199525767
INC_kr,0.018503571707872382
SUP_kr,0.016889168581446373
SUP_r1,0.015427744993604307
INF_sk,0.014888095819536444
IND_sk,0.013194550851889995
IND_sd,0.006748156458192454
