Feature,Importance
INC_avg,0.14417473738152878
INF_r1,0.10996297524217687
INF_avg,0.09637596340218695
INF_kr,0.09538259341585265
INF_sd,0.0949410827031251
INF_sk,0.07066471655417159
SUP_sd,0.05850412842824862
INC_sd,0.05385564757044687
SUP_r1,0.04505053291318594
IND_sd,0.03666902104700521
SUP_sk,0.029902594781999373
IND_sk,0.02289605564362258
SUP_avg,0.021466492372156587
IND_kr,0.020895139343938485
INC_r1,0.018093995334578644
SUP_kr,0.017605699450139047
IND_avg,0.01655010164222196
IND_r1,0.016222548941218697
INC_sk,0.015730868244728625
INC_kr,0.01505510558746767
