Fold,SBS_Best_Models
0,COMOLSD
1,MOEAD
2,COMOLSD
3,MOEAD
4,COMOLSD
5,MOEAD
6,MOEAD
7,COMOLSD
8,COMOLSD
9,COMOLSD
10,COMOLSD
11,COMOLSD
12,COMOLSD
13,COMOLSD
14,MOEAD
15,MOEAD
16,COMOLSD
17,MOEAD
18,COMOLSD
19,MOEAD
20,MOEAD
21,MOEAD
22,MOEAD
23,COMOLSD
24,MOEAD
25,COMOLSD
26,COMOLSD
27,COMOLSD
28,COMOLSD
29,COMOLSD
30,MOEAD
31,COMOLSD
32,COMOLSD
33,COMOLSD
34,MOEAD
35,COMOLSD
36,COMOLSD
37,COMOLSD
38,COMOLSD
39,COMOLSD
40,MOEAD
41,COMOLSD
42,MOEAD
43,COMOLSD
44,MOEAD
45,MOEAD
46,MOEAD
47,MOEAD
48,COMOLSD
49,MOEAD
50,COMOLSD
51,COMOLSD
52,COMOLSD
53,COMOLSD
54,COMOLSD
55,COMOLSD
56,COMOLSD
57,COMOLSD
58,MOEAD
59,COMOLSD
60,COMOLSD
61,COMOLSD
62,COMOLSD
63,COMOLSD
64,COMOLSD
65,COMOLSD
66,COMOLSD
67,MOEAD
68,COMOLSD
69,COMOLSD
70,COMOLSD
71,COMOLSD
72,COMOLSD
73,MOEAD
74,COMOLSD
75,COMOLSD
76,COMOLSD
77,MOEAD
78,COMOLSD
79,COMOLSD
80,COMOLSD
81,MOEAD
82,COMOLSD
83,COMOLSD
84,MOEAD
85,COMOLSD
86,MOEAD
87,COMOLSD
88,MOEAD
89,COMOLSD
90,MOEAD
91,COMOLSD
92,MOEAD
93,COMOLSD
94,COMOLSD
95,COMOLSD
96,MOEAD
97,COMOLSD
98,COMOLSD
99,COMOLSD
